eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.41,-1.6299999952316284,79.2,-1.690000057220459,956.0,0.0001566010614624247,0.0,2.7078933715820312,-0.0003090253158006817,1.626397728919983,0.0017743706703186035,1.0,256.0,17.12203351710923,16384.0
80.61,-2.490000009536743,87.43,-3.0399999618530273,1216.0,0.0004512817831709981,0.0,2.7062337398529053,-0.0004762831376865506,1.5283679962158203,0.020674467086791992,2.0,512.0,30.66117488499731,32768.0
82.88,-1.690000057220459,80.41,-2.1700000762939453,1228.0,0.001173823606222868,0.0010782877216115594,2.702035903930664,-0.0005535446107387543,1.4345760345458984,0.028621196746826172,3.0,768.0,43.99659515800886,49152.0
84.36,-1.8300000429153442,80.56,-2.640000104904175,1242.0,0.0010784034384414554,0.0007120768423192203,2.695211410522461,-0.0003785516310017556,1.3443845510482788,0.04915881156921387,4.0,1024.0,57.18456474598497,65536.0
86.36,-2.0999999046325684,81.68,-2.559999942779541,1218.0,0.001172053162008524,0.0018717447528615594,2.6871583461761475,-0.0005466360016725957,1.357725977897644,0.08821529150009155,5.0,1280.0,70.6327404321637,81920.0
83.37,-1.9199999570846558,82.57,-2.0999999046325684,1226.0,0.0026133088394999504,0.00689697265625,2.6690568923950195,-0.001355501008220017,1.2595731019973755,0.11716687679290771,6.0,1536.0,83.99301406601444,98304.0
86.14,-1.9800000190734863,84.94,-2.2200000286102295,1225.0,0.002626040019094944,0.0019734699744731188,2.6326019763946533,-0.0003326594305690378,1.0933994054794312,0.15373212099075317,7.0,1792.0,97.36313508404419,114688.0
86.65,-2.569999933242798,85.87,-2.4200000762939453,1256.0,0.0029517917428165674,0.014444987289607525,2.62450909614563,-0.0011008325964212418,0.9802277684211731,0.17375320196151733,8.0,2048.0,110.40801092097536,131072.0
82.66,-1.7100000381469727,87.93,-2.380000114440918,1127.0,0.002338457852602005,0.0072021484375,2.6442031860351562,-0.000912665156647563,0.9225397706031799,0.2518191933631897,9.0,2304.0,124.93545649200678,147456.0
84.45,-1.7799999713897705,77.24,-2.200000047683716,910.0,0.00261451187543571,0.01639811135828495,2.6523053646087646,-0.0014176787808537483,0.8178815841674805,0.28928524255752563,10.0,2560.0,142.93874714616686,163840.0
81.31,-1.9199999570846558,83.72,-2.4800000190734863,910.0,0.0029648852068930864,0.0076904296875,2.6321041584014893,-0.0014221087330952287,0.7985832095146179,0.31604230403900146,11.0,2816.0,160.93548350199126,180224.0
78.06,-2.2100000381469727,84.8,-2.8299999237060547,937.0,0.003917661961168051,0.02864583395421505,2.620711088180542,-0.0014386357506737113,0.8285703659057617,0.3290393352508545,12.0,3072.0,178.4052580751013,196608.0
83.83,-2.1600000858306885,83.94,-2.4100000858306885,972.0,0.0028995468746870756,0.013875325210392475,2.6368560791015625,-0.0005027419538237154,0.7395944595336914,0.3502371311187744,13.0,3328.0,195.24647803115658,212992.0
81.61,-1.9900000095367432,82.15,-2.5999999046325684,1039.0,0.002950619673356414,0.02107747457921505,2.63092303276062,-0.0013990596635267138,0.6333823800086975,0.4101009964942932,14.0,3584.0,211.01593687012792,229376.0
84.12,-2.609999895095825,81.71,-1.600000023841858,1057.0,0.0017163596348837018,0.0071004233323037624,2.639890670776367,-0.00042329097050242126,0.6779264807701111,0.37577229738235474,15.0,3840.0,226.5093492390588,245760.0
83.94,-2.140000104904175,84.07,-2.440000057220459,1023.0,0.0026871301233768463,0.0185546875,2.6438686847686768,-0.001332315499894321,0.5830850005149841,0.40437543392181396,16.0,4096.0,242.5184234001208,262144.0
87.46,-1.5800000429153442,84.18,-2.309999942779541,958.0,0.0027765443082898855,0.00848388671875,2.6484177112579346,-0.001721711945720017,0.5545606017112732,0.47561973333358765,17.0,4352.0,259.6100824570749,278528.0
90.06,-2.069999933242798,84.99,-2.180000066757202,871.0,0.00453229621052742,0.02425130270421505,2.6566085815429688,-0.0022589561995118856,0.5651038289070129,0.4605886936187744,18.0,4608.0,278.4135023180861,294912.0
80.98,-2.369999885559082,85.69,-2.049999952316284,922.0,0.0043767583556473255,0.0442301444709301,2.6552302837371826,-0.0022793372627347708,0.6046189665794373,0.49101972579956055,19.0,4864.0,296.1787197391968,311296.0
82.6,-2.5199999809265137,84.65,-1.659999966621399,1007.0,0.0029800189658999443,0.01123046875,2.6537978649139404,-0.0020015044137835503,0.6059423089027405,0.4893764853477478,20.0,5120.0,312.4433794361539,327680.0
76.98,-1.5099999904632568,85.94,-2.4700000286102295,1039.0,0.005770750809460878,0.0585734061896801,2.6581058502197266,-0.004766892176121473,0.594100296497345,0.5495735108852386,21.0,5376.0,328.2104864360299,344064.0
90.14,-2.059999942779541,83.3,-1.6699999570846558,1051.0,0.006628211587667465,0.0746866837143898,2.635209560394287,-0.004625547677278519,0.6312786340713501,0.5484042465686798,22.0,5632.0,343.7968597561121,360448.0
82.92,-1.840000033378601,84.72,-2.7799999713897705,920.0,0.0045753284357488155,0.05255126953125,2.6291699409484863,-0.005940984468907118,0.720677375793457,0.5574270486831665,23.0,5888.0,361.60242341901176,376832.0
82.3,-2.380000114440918,87.69,-2.7699999809265137,877.0,0.005380063783377409,0.0637003555893898,2.6197333335876465,-0.005859712138772011,0.7702324986457825,0.561436802148819,24.0,6144.0,380.2696538870223,393216.0
