eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.74,-2.7899999618530273,78.94,-2.7300000190734863,899.0,0.0006379464757628739,0.0,2.7074499130249023,-0.000746724137570709,2.0143773555755615,0.019266366958618164,1.0,256.0,18.220026404131204,16384.0
80.18,-2.049999952316284,78.58,-2.4000000953674316,1186.0,0.0009515189449302852,0.0,2.7047035694122314,-0.0009377302485518157,1.6226091384887695,0.030293405055999756,2.0,512.0,32.08947359211743,32768.0
80.57,-2.8399999141693115,79.86,-3.2100000381469727,1167.0,0.0011030008317902684,0.00032552084303461015,2.699949264526367,-0.0003103694471064955,1.252895712852478,0.06390124559402466,3.0,768.0,46.127744424156845,49152.0
77.29,-2.25,82.86,-2.700000047683716,1178.0,0.001835250179283321,0.009623209945857525,2.696113348007202,-0.001638544606976211,1.3480826616287231,0.08289462327957153,4.0,1024.0,60.03635678603314,65536.0
75.95,-2.6500000953674316,77.04,-2.940000057220459,1183.0,0.0015357219381257892,0.0017496744403615594,2.6901872158050537,-0.0005757287726737559,1.3019767999649048,0.11199051141738892,5.0,1280.0,73.88488830602728,81920.0
83.09,-2.819999933242798,75.66,-2.430000066757202,1186.0,0.0023599809501320124,0.015421549789607525,2.6782639026641846,-0.0013071149587631226,1.0776349306106567,0.16787290573120117,6.0,1536.0,87.69360456895083,98304.0
75.36,-2.200000047683716,75.51,-2.009999990463257,1186.0,0.0021428565960377455,0.010965983383357525,2.681957244873047,-0.0008902493864297867,1.1230534315109253,0.17908799648284912,7.0,1792.0,101.50441487599164,114688.0
79.41,-2.1700000762939453,78.71,-2.799999952316284,1146.0,0.002739047398790717,0.011922200210392475,2.672917127609253,-0.001119717606343329,1.0157281160354614,0.1913590431213379,8.0,2048.0,115.79922202206217,131072.0
86.46,-1.899999976158142,82.22,-2.859999895095825,1127.0,0.003144683549180627,0.01786295510828495,2.6475582122802734,-0.0016027307137846947,0.8353108763694763,0.25272607803344727,9.0,2304.0,130.32856801408343,147456.0
82.78,-2.890000104904175,79.04,-2.390000104904175,990.0,0.0027544095646589994,0.01639811135828495,2.6400091648101807,-0.0014580510323867202,0.7994764447212219,0.2519879937171936,10.0,2560.0,146.86965172016062,163840.0
79.64,-1.7200000286102295,81.09,-2.4200000762939453,934.0,0.0014505063882097602,2.0345052689663135e-05,2.6410069465637207,-0.0001423936482751742,0.8967655301094055,0.3136630058288574,11.0,2816.0,164.39892696612515,180224.0
79.44,-2.5799999237060547,74.29,-2.5199999809265137,876.0,0.0014417510246858,0.0001220703125,2.6426641941070557,-0.00047488705604337156,0.8736076951026917,0.28054630756378174,12.0,3072.0,183.08918218011968,196608.0
78.81,-2.4700000286102295,80.29,-1.8200000524520874,963.0,0.0035993580240756273,0.02044677734375,2.6266682147979736,-0.00093654211377725,0.8015629649162292,0.3249419927597046,13.0,3328.0,200.09590406809002,212992.0
82.62,-2.630000114440918,82.82,-2.2100000381469727,1000.0,0.0038520442321896553,0.039306640625,2.641339063644409,-0.0018494216492399573,0.7075643539428711,0.32728177309036255,14.0,3584.0,216.46810071216896,229376.0
82.11,-3.180000066757202,77.0,-2.7200000286102295,896.0,0.0023225306067615747,0.0057576498948037624,2.6391448974609375,-0.0009086684440262616,0.7579759955406189,0.356770396232605,15.0,3840.0,234.73539877310395,245760.0
80.7,-2.869999885559082,84.02,-2.509999990463257,884.0,0.0018388755852356553,0.0015055338153615594,2.63224196434021,-0.0012603850336745381,0.7183541655540466,0.40593278408050537,16.0,4096.0,253.25425458699465,262144.0
82.0,-2.5,80.91,-2.0199999809265137,959.0,0.0023928715381771326,0.014994303695857525,2.6307294368743896,-0.0012653190642595291,0.6494622826576233,0.404114305973053,17.0,4352.0,270.3339902071748,278528.0
79.92,-1.9800000190734863,76.07,-2.390000104904175,974.0,0.0034318137913942337,0.02707926370203495,2.6249444484710693,-0.0020944427233189344,0.6343894600868225,0.4042755365371704,18.0,4608.0,287.1424683621153,294912.0
79.6,-1.409999966621399,84.14,-2.4600000381469727,917.0,0.0013145365519449115,0.0033162434119731188,2.6284666061401367,-0.001821905025281012,0.6574952006340027,0.44687455892562866,19.0,4864.0,305.00670282007195,311296.0
79.84,-2.430000066757202,82.77,-2.509999990463257,887.0,0.002914443612098694,0.01576741598546505,2.637371301651001,-0.0027013421058654785,0.604745090007782,0.4827345609664917,20.0,5120.0,323.47542834002525,327680.0
80.18,-2.2799999713897705,73.2,-2.109999895095825,945.0,0.0031368450727313757,0.01678466796875,2.635315179824829,-0.002721848664805293,0.6569148302078247,0.4877675771713257,21.0,5376.0,340.79963841009885,344064.0
78.92,-2.259999990463257,82.81,-1.4500000476837158,1000.0,0.0033833684865385294,0.02553304098546505,2.644137382507324,-0.004146430641412735,0.5535175204277039,0.5571829676628113,22.0,5632.0,357.17934615700506,360448.0
84.48,-1.190000057220459,88.09,-2.359999895095825,1076.0,0.0038637255784124136,0.0428873710334301,2.6493113040924072,-0.004599291365593672,0.5797797441482544,0.5566292405128479,23.0,5888.0,372.39883187110536,376832.0
80.89,-1.899999976158142,72.92,-1.4800000190734863,991.0,0.00529530318453908,0.0689697265625,2.6462371349334717,-0.007160976063460112,0.5860971808433533,0.5758976638317108,24.0,6144.0,388.9208084580023,393216.0
78.7,-1.4800000190734863,78.0,-1.9600000381469727,932.0,0.007131857331842184,0.10064697265625,2.6274211406707764,-0.008254664950072765,0.5373172163963318,0.5766803324222565,25.0,6400.0,406.50017322413623,409600.0
74.92,-2.2899999618530273,75.87,-1.7200000286102295,912.0,0.007965057156980038,0.1083170548081398,2.610013246536255,-0.008944985456764698,0.4613502025604248,0.6075335741043091,26.0,6656.0,424.46106465999037,425984.0
76.07,-1.6100000143051147,71.47,-1.7699999809265137,1010.0,0.007045505568385124,0.0854899063706398,2.5936925411224365,-0.008485724218189716,0.36398759484291077,0.748114138841629,27.0,6912.0,440.6751923710108,442368.0
75.48,-1.409999966621399,71.09,-1.3700000047683716,1048.0,0.0069865393452346325,0.08837890625,2.5988595485687256,-0.00495648430660367,0.41141477227211,0.7194186747074127,28.0,7168.0,456.3089744250756,458752.0
74.17,-0.5799999833106995,73.57,-1.7599999904632568,978.0,0.008147147484123707,0.1079508438706398,2.575791597366333,-0.01010921411216259,0.30474844574928284,0.7534797489643097,29.0,7424.0,473.0575633060653,475136.0
76.01,-0.7300000190734863,73.9,-1.9800000190734863,893.0,0.007999246940016747,0.1043904647231102,2.57817006111145,-0.010103861801326275,0.2404283732175827,0.7782842516899109,30.0,7680.0,491.3887096780818,491520.0
79.97,-0.25999999046325684,77.87,-1.5299999713897705,903.0,0.011792954988777637,0.14910888671875,2.585827589035034,-0.007771691773086786,0.14957295358181,0.8090613186359406,31.0,7936.0,509.51940184109844,507904.0
