eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.78,-2.4000000953674316,87.17,-1.7300000190734863,718.0,0.00018297677161172032,0.0,2.707866907119751,-0.00023221905576065183,1.7251744270324707,0.005242586135864258,1.0,256.0,22.816662334000057,16384.0
84.36,-2.430000066757202,81.89,-2.2200000286102295,872.0,0.0006056572892703116,0.0,2.706136465072632,-0.0003630401042755693,1.7215749025344849,0.025728225708007812,2.0,512.0,41.688407520000055,32768.0
75.62,-2.7300000190734863,80.46,-1.559999942779541,886.0,0.0011285863583907485,0.00040690103196538985,2.7011868953704834,-0.0007350579835474491,1.4908957481384277,0.05800908803939819,3.0,768.0,60.16274320899993,49152.0
84.44,-2.190000057220459,80.92,-2.0799999237060547,880.0,0.00178536307066679,0.00018310546875,2.691547155380249,-1.2816705748264212e-05,1.472954273223877,0.06829613447189331,4.0,1024.0,78.77032467799995,65536.0
79.18,-2.0399999618530273,82.37,-1.8200000524520874,864.0,0.0019240857800468802,0.0055135092698037624,2.684415578842163,-0.0003668971767183393,1.2863904237747192,0.08296144008636475,5.0,1280.0,97.7301292699999,81920.0
89.22,-2.009999990463257,80.49,-2.1500000953674316,871.0,0.0014565460151061416,0.0010986328125,2.670428991317749,-0.0007165382266975939,1.1315923929214478,0.16904854774475098,6.0,1536.0,116.52346844099998,98304.0
82.97,-3.0,88.76,-2.930000066757202,863.0,0.00347769889049232,0.01871744729578495,2.6689846515655518,-0.001082220464013517,1.0325963497161865,0.1701393723487854,7.0,1792.0,135.50052148300006,114688.0
91.31,-3.2899999618530273,78.45,-2.690000057220459,860.0,0.00322878104634583,0.02333577536046505,2.6611900329589844,-0.0009526090580038726,1.0148357152938843,0.20475798845291138,8.0,2048.0,154.54900864399997,131072.0
80.61,-2.2100000381469727,89.37,-2.6700000762939453,858.0,0.0024328138679265976,0.014729817397892475,2.6714999675750732,-0.0005974622326903045,0.8422715067863464,0.22332656383514404,9.0,2304.0,173.63004157799992,147456.0
77.84,-2.950000047683716,85.76,-2.2699999809265137,854.0,0.0032536492217332125,0.0206298828125,2.6650967597961426,-0.0005732532008551061,0.8426714539527893,0.2857849597930908,10.0,2560.0,192.8003330439999,163840.0
82.69,-2.680000066757202,82.51,-2.299999952316284,852.0,0.005054671783000231,0.0419108085334301,2.649791955947876,-0.0015350555768236518,0.7425915598869324,0.3348797559738159,11.0,2816.0,212.01333124999996,180224.0
81.11,-1.9800000190734863,83.21,-2.2300000190734863,853.0,0.004085079301148653,0.02506510354578495,2.654446840286255,-0.0009636532049626112,0.7247853875160217,0.3576657176017761,12.0,3072.0,231.21433877799996,196608.0
82.44,-1.9800000190734863,82.14,-1.7300000190734863,853.0,0.0026274670381098986,0.0018310546875,2.6594371795654297,-0.0008956159581430256,0.777762234210968,0.3401927947998047,13.0,3328.0,250.40692513999988,212992.0
84.45,-1.6399999856948853,81.56,-1.8700000047683716,856.0,0.0024159022141247988,0.014506022445857525,2.6604158878326416,-0.0007970414590090513,0.6689642071723938,0.38787198066711426,14.0,3584.0,269.5437521880001,229376.0
75.8,-1.809999942779541,87.11,-2.1600000858306885,852.0,0.004479308146983385,0.0430908203125,2.664655923843384,-0.0023656871635466814,0.7130889892578125,0.3538885712623596,15.0,3840.0,288.755680685,245760.0
84.03,-2.6700000762939453,79.32,-2.0399999618530273,849.0,0.002825328381732106,0.02602132223546505,2.6665282249450684,-0.0013418857706710696,0.7009256482124329,0.3675246834754944,16.0,4096.0,308.033904075,262144.0
81.96,-2.0799999237060547,85.62,-2.359999895095825,851.0,0.0029289089143276215,0.011189778335392475,2.6703684329986572,-0.0005507643800228834,0.6940922737121582,0.36789369583129883,17.0,4352.0,327.26568893600006,278528.0
85.77,-1.5499999523162842,88.06,-2.0399999618530273,852.0,0.004349189344793558,0.0474853515625,2.673140287399292,-0.002096855314448476,0.6448714733123779,0.35881829261779785,18.0,4608.0,346.489961086,294912.0
83.98,-2.0299999713897705,83.97,-2.8399999141693115,854.0,0.0044333855621516705,0.01934814453125,2.6614694595336914,-0.0008935520309023559,0.63541179895401,0.40668702125549316,19.0,4864.0,365.6670375389999,311296.0
76.21,-2.8399999141693115,81.64,-2.3299999237060547,854.0,0.0043227472342550755,0.0433146171271801,2.670476198196411,-0.0018780777463689446,0.6691600680351257,0.4464486241340637,20.0,5120.0,384.85280085499994,327680.0
86.79,-2.190000057220459,80.04,-1.809999942779541,851.0,0.004682527389377356,0.03074137307703495,2.6574337482452393,-0.0015818740939721465,0.5671703219413757,0.44457679986953735,21.0,5376.0,404.0973491950001,344064.0
83.89,-2.5199999809265137,85.38,-2.1500000953674316,853.0,0.004961452912539244,0.0464884452521801,2.662832498550415,-0.002750316634774208,0.6103789806365967,0.4541623592376709,22.0,5632.0,423.29044473199997,360448.0
80.18,-2.5199999809265137,83.14,-1.8300000429153442,855.0,0.0037454997655004263,0.01603190042078495,2.6668760776519775,-0.0020820193458348513,0.585593044757843,0.5292818546295166,23.0,5888.0,442.4464667110001,376832.0
