eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
87.46,-2.25,82.25,-2.990000009536743,1026.0,9.191779099637643e-05,0.0,2.7079660892486572,-0.00029526278376579285,1.7479585409164429,-0.00921928882598877,1.0,256.0,15.956308736931533,16384.0
86.87,-2.0,80.73,-2.5299999713897705,1236.0,0.0003049953666049987,0.0,2.7071096897125244,-0.00035320676397532225,1.4460121393203735,0.012613117694854736,2.0,512.0,29.27249475196004,32768.0
82.15,-2.8499999046325684,81.67,-2.6500000953674316,1222.0,0.0009574383147992194,0.0,2.7041032314300537,-0.00028714266954921186,1.5518580675125122,0.02375239133834839,3.0,768.0,42.675684487912804,49152.0
88.73,-1.9900000095367432,78.02,-3.049999952316284,1243.0,0.0011348474072292447,2.0345052689663135e-05,2.699488401412964,-0.00017237085558008403,1.3798590898513794,0.03908461332321167,4.0,1024.0,55.85718760988675,65536.0
95.7,-3.140000104904175,85.5,-2.5999999046325684,1224.0,0.0013778680004179478,0.0,2.692974805831909,-0.00011279751925030723,1.2749814987182617,0.05453193187713623,5.0,1280.0,69.23631876404397,81920.0
82.0,-2.3299999237060547,78.62,-2.1600000858306885,1245.0,0.001911360421217978,0.0046590170823037624,2.6838347911834717,-0.0004842409398406744,1.2340400218963623,0.09089428186416626,6.0,1536.0,82.39074336690828,98304.0
85.15,-2.309999942779541,78.83,-2.190000057220459,1178.0,0.0030982131138443947,0.01104736328125,2.6765897274017334,-0.0009282974060624838,1.048641324043274,0.13255804777145386,7.0,1792.0,96.29378954903223,114688.0
86.43,-2.7300000190734863,79.48,-2.4800000190734863,1240.0,0.002900291234254837,0.0078125,2.6711642742156982,-0.0015939701115712523,1.112252116203308,0.1879320740699768,8.0,2048.0,109.505238665035,131072.0
88.59,-3.069999933242798,87.04,-2.9200000762939453,1231.0,0.003512938739731908,0.015543620102107525,2.6662466526031494,-0.0018953963881358504,0.9274773001670837,0.21851342916488647,9.0,2304.0,122.8158599329181,147456.0
80.28,-2.259999990463257,78.8,-2.369999885559082,1239.0,0.0011493213241919875,0.00026448568678461015,2.671020269393921,-0.0003366472665220499,1.0143710374832153,0.24315834045410156,10.0,2560.0,136.0401296140626,163840.0
87.21,-2.009999990463257,88.92,-2.990000009536743,1242.0,0.0018610296538099647,0.0073445639573037624,2.6642205715179443,-0.0008100116974674165,0.8282243609428406,0.2523268461227417,11.0,2816.0,149.22759041190147,180224.0
79.41,-2.569999933242798,78.12,-2.5,1225.0,0.0018796430667862296,0.0040486655198037624,2.6459901332855225,-0.00017070042667910457,0.7324826717376709,0.2929574251174927,12.0,3072.0,162.59384690690786,196608.0
89.45,-3.359999895095825,85.09,-3.109999895095825,1248.0,0.003060642397031188,0.012003581039607525,2.6439049243927,-0.0011664914200082421,0.7501375079154968,0.3190155029296875,13.0,3328.0,175.72163645597175,212992.0
83.13,-2.0299999713897705,79.18,-2.619999885559082,1246.0,0.005547477398067713,0.0465901680290699,2.6315324306488037,-0.0027931358199566603,0.6195471286773682,0.3537191152572632,14.0,3584.0,188.8649513849523,229376.0
86.51,-2.9600000381469727,83.48,-2.9800000190734863,1251.0,0.004453370813280344,0.0365193672478199,2.605461835861206,-0.002428395440801978,0.7305797934532166,0.3224967122077942,15.0,3840.0,201.9566025089007,245760.0
83.92,-2.299999952316284,82.61,-2.7300000190734863,1234.0,0.003519283840432763,0.01753743551671505,2.6056745052337646,-0.0005273877177387476,0.6589250564575195,0.357403039932251,16.0,4096.0,215.2292424540501,262144.0
