eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.56,-2.1600000858306885,79.22,-2.5799999237060547,948.0,0.0002820750523824245,0.0,2.707782745361328,-0.00041057445923797786,1.633571743965149,0.0008365511894226074,1.0,256.0,17.265289922012016,16384.0
86.99,-2.299999952316284,83.05,-2.369999885559082,1073.0,0.000662282865960151,0.0,2.705538749694824,-0.0006431480287574232,1.5248457193374634,0.020265519618988037,2.0,512.0,32.58936550305225,32768.0
79.47,-2.259999990463257,89.09,-2.240000009536743,1022.0,0.0009319537784904242,0.0,2.7017509937286377,-0.0001920224167406559,1.5951858758926392,0.036930620670318604,3.0,768.0,48.62236081203446,49152.0
88.99,-2.3399999141693115,85.08,-3.4000000953674316,1016.0,0.0013612183975055814,0.00020345051598269492,2.6985270977020264,-0.0006811472703702748,1.4158631563186646,0.05781310796737671,4.0,1024.0,64.73672322602943,65536.0
83.57,-2.4600000381469727,88.17,-2.180000066757202,1168.0,0.0023429084103554487,0.009928385727107525,2.681528329849243,-0.0011450614547356963,1.2877358198165894,0.09967917203903198,5.0,1280.0,78.75935307401232,81920.0
84.57,-2.109999895095825,86.66,-2.9200000762939453,1161.0,0.0018264646641910076,0.0069783530198037624,2.6760270595550537,-0.0008697689045220613,1.1451972723007202,0.13723337650299072,6.0,1536.0,92.86618340318091,98304.0
80.83,-1.7000000476837158,86.31,-2.759999990463257,1155.0,0.0023626729380339384,0.011962890625,2.679044723510742,-0.0008892517653293908,1.1851942539215088,0.16897153854370117,7.0,1792.0,107.04436090006493,114688.0
85.04,-2.319999933242798,81.19,-2.5,1214.0,0.002920745871961117,0.009785969741642475,2.6716251373291016,-0.0014699982712045312,1.0258408784866333,0.18111419677734375,8.0,2048.0,120.53320778813213,131072.0
77.69,-2.190000057220459,87.32,-2.309999942779541,1124.0,0.0023173086810857058,0.0005289713735692203,2.6560866832733154,-0.0004188095626886934,1.0855668783187866,0.21812719106674194,9.0,2304.0,135.10333243920468,147456.0
81.24,-2.049999952316284,85.85,-2.0199999809265137,1110.0,0.003164425492286682,0.01694742776453495,2.6399896144866943,-0.0015928257489576936,0.9209741950035095,0.24601465463638306,10.0,2560.0,149.85616153501906,163840.0
